height_km,T_rmse,T_bias,T_std,RH_rmse,RH_bias,RH_std
0.000,8.3493,-8.2081,1.5292,12.3997,-11.5336,4.5527
0.030,7.7770,-7.6582,1.3538,9.5860,-4.4098,8.5114
0.060,5.8826,-5.7002,1.4536,9.1726,-4.5116,7.9864
0.090,8.1498,-8.0020,1.5450,10.2627,-6.5493,7.9013
0.120,5.3666,-5.0697,1.7602,9.4648,-4.9875,8.0441
0.150,7.5292,-7.4342,1.1926,8.9138,-4.6356,7.6136
0.180,7.3499,-7.2458,1.2327,10.1278,-3.4745,9.5132
0.210,7.9832,-7.8805,1.2764,8.8849,-5.1641,7.2301
0.240,7.2862,-7.0737,1.7469,10.1664,-5.5874,8.4933
0.270,7.4298,-7.3053,1.3544,10.3560,-5.3158,8.8875
0.300,6.2644,-6.0763,1.5238,8.8957,-3.7727,8.0561
0.330,6.1081,-5.9839,1.2253,9.6734,-3.2593,9.1077
0.360,7.4565,-7.3585,1.2050,9.6687,-4.8060,8.3897
0.390,6.0992,-5.9795,1.2022,10.0756,-5.8627,8.1944
0.420,6.7540,-6.5890,1.4841,10.3277,-4.7316,9.1800
0.450,6.2626,-6.0625,1.5703,11.5509,-7.6649,8.6413
0.480,6.4278,-6.3084,1.2328,10.0246,-5.0401,8.6654
0.500,5.8353,-5.6527,1.4485,8.4934,-2.4336,8.1372
0.540,6.4564,-6.3418,1.2109,9.1899,-5.0014,7.7097
0.580,5.8992,-5.7898,1.1303,8.2930,-2.5022,7.9065
0.620,4.7474,-4.5650,1.3032,10.6400,-6.5033,8.4212
0.660,6.1379,-5.9158,1.6363,8.9986,-2.2160,8.7215
0.700,5.1916,-5.0867,1.0381,8.8423,-4.9057,7.3567
0.740,5.5407,-5.3262,1.5266,8.5891,-4.4067,7.3725
0.780,5.2907,-5.1509,1.2082,11.9269,-7.4216,9.3366
0.820,4.7347,-4.5391,1.3468,7.8573,-2.3887,7.4854
0.860,4.4457,-4.3132,1.0773,10.0901,-4.6423,8.9588
0.900,5.0764,-4.9502,1.1252,8.4588,-1.3404,8.3519
