height_km,T_rmse,T_bias,T_std,RH_rmse,RH_bias,RH_std
0.000,2.0408,1.2836,1.5866,12.1851,-0.9807,12.1456
0.030,1.6622,-0.2781,1.6387,14.2951,0.9956,14.2603
0.060,1.6576,-0.3669,1.6165,14.5224,0.5156,14.5132
0.090,1.9188,-0.4116,1.8741,12.9717,1.1724,12.9186
0.120,1.8068,-0.1793,1.7979,9.7005,-0.3817,9.6930
0.150,1.6546,-0.0844,1.6525,9.1706,2.7407,8.7515
0.180,1.5098,0.4502,1.4411,9.8848,-1.6511,9.7459
0.210,1.8054,-0.1937,1.7950,8.7848,-1.3291,8.6837
0.240,2.3359,0.9817,2.1195,11.7788,3.0423,11.3791
0.270,1.7697,0.3379,1.7372,12.1622,-2.4941,11.9037
0.300,1.5165,-0.1998,1.5032,11.6017,-1.0348,11.5555
0.330,1.6712,0.5041,1.5933,12.3929,1.4965,12.3022
0.360,1.2726,0.2072,1.2556,15.2305,-0.8457,15.2070
0.390,1.6120,-0.4782,1.5395,11.7084,1.5889,11.6001
0.420,1.3829,-0.5400,1.2732,14.0172,-5.9949,12.6705
0.450,1.4584,0.4093,1.3998,9.0175,-0.1113,9.0168
0.480,2.2412,0.0475,2.2407,12.9049,5.9610,11.4456
0.500,2.0526,0.2830,2.0330,11.0307,1.9480,10.8573
0.540,1.5447,0.0921,1.5419,11.1798,3.1454,10.7282
0.580,1.6622,0.2180,1.6479,10.4222,-1.4361,10.3228
0.620,2.0171,-0.3274,1.9904,11.2833,2.4263,11.0193
0.660,1.6061,0.2324,1.5892,9.8126,-1.6490,9.6731
0.700,1.9141,0.3289,1.8856,13.1421,-6.7145,11.2974
0.740,2.0444,0.5154,1.9784,13.7601,1.6583,13.6598
0.780,1.4519,-0.2750,1.4256,10.1821,-0.0101,10.1821
0.820,1.8493,-0.2211,1.8361,11.5119,-2.7489,11.1789
0.860,1.6069,-0.3031,1.5780,14.3531,1.4442,14.2802
0.900,1.6700,-0.0281,1.6697,15.9314,-4.8221,15.1841
0.940,1.7051,-0.3628,1.6661,12.9778,0.0257,12.9777
0.980,2.1078,0.1388,2.1032,14.8092,3.5154,14.3860
1.000,1.8435,-0.5066,1.7725,11.0636,2.0689,10.8684
1.060,1.5792,-0.3299,1.5443,11.2535,2.1398,11.0482
1.120,1.8217,-0.0832,1.8198,13.9089,-2.4139,13.6978
1.180,1.3581,0.5899,1.2233,10.4891,-1.0985,10.4314
1.240,1.1242,0.1409,1.1153,9.0395,-1.8736,8.8432
1.300,1.9390,0.8045,1.7643,8.9344,1.4157,8.8215
1.360,1.6555,0.0150,1.6554,10.5064,1.3975,10.4130
1.420,1.7946,-0.1554,1.7878,12.6714,-6.9154,10.6180
1.480,1.9100,-0.0240,1.9099,12.6294,-2.8311,12.3080
1.500,2.5371,-0.0684,2.5361,11.5303,-3.9199,10.8435
1.590,1.4429,-0.4520,1.3703,12.5251,3.6454,11.9829
1.680,2.0325,-0.6167,1.9367,12.0591,1.2514,11.9940
1.770,2.1770,-1.2367,1.7917,13.0268,-0.1965,13.0253
1.860,1.6977,0.2302,1.6821,11.3183,0.0977,11.3179
1.950,1.8703,0.2369,1.8553,13.8845,2.2223,13.7055
2.000,2.1055,0.6670,1.9970,15.2997,-4.9436,14.4790
2.120,1.5371,-0.2566,1.5155,10.8971,0.2338,10.8946
2.240,2.1554,-0.8100,1.9975,10.8396,1.5362,10.7302
2.360,1.3878,0.3210,1.3501,11.6135,-0.9289,11.5763
2.480,1.9123,0.0788,1.9107,11.4507,2.2847,11.2205
2.600,2.1050,0.3912,2.0683,7.7884,2.4304,7.3995
2.720,2.0523,0.2979,2.0305,13.2343,0.3499,13.2297
2.840,1.8537,0.3579,1.8188,11.5120,-1.0975,11.4596
2.960,1.7437,-0.2141,1.7306,12.1467,2.9781,11.7760
3.000,2.0835,0.6823,1.9686,13.7495,0.5373,13.7390
3.160,2.1035,-0.4075,2.0636,11.0495,-4.5893,10.0514
3.320,1.8706,0.8093,1.6865,14.0630,-2.1655,13.8953
3.480,2.6683,-0.6877,2.5782,12.7025,-0.5784,12.6893
3.640,1.9153,0.2764,1.8953,9.9010,3.2667,9.3466
3.800,2.0787,-0.5523,2.0040,14.4071,6.4416,12.8868
3.960,1.4143,0.2564,1.3909,11.2051,1.1585,11.1451
4.120,1.9640,0.1826,1.9555,11.7675,3.9247,11.0937
4.280,2.1042,-0.0271,2.1040,14.4520,-3.5544,14.0081
4.440,1.6003,-0.4319,1.5409,11.6205,1.1527,11.5632
4.600,1.8053,0.1326,1.8005,10.5883,0.7357,10.5627
4.760,2.0860,-0.1351,2.0816,9.8025,-1.1471,9.7352
4.920,2.1926,-0.7118,2.0739,10.0339,-1.6911,9.8904
5.000,2.4025,0.3859,2.3713,14.6102,-2.8597,14.3276
